player_id,player_full_name,player_name,position,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0032241,Todd Gurley,T.Gurley,RB,RB1,1,RB1,1,RB1,1
99-9999999,Le'Veon Bell,L.Bell,RB,RB2,2.4,RB2,2,RB2,2.2
00-0032187,David Johnson1,D.Johnson1,RB,RB3,2.6,RB3,3.5,RB3,3.2
00-0033045,Ezekiel Elliott,E.Elliott,RB,RB4,4,RB4,3.5,RB4,3.6
00-0027793,Antonio Brown,A.Brown,WR,WR1,5.2,WR1,5,WR1,5.4
00-0033906,Alvin Kamara,A.Kamara,RB,RB5,6.2,RB5,6.5,RB6,6.4
00-0034844,Saquon Barkley,S.Barkley,RB,RB6,6.6,RB6,6.5,RB5,6.2
00-0030564,DeAndre Hopkins1,D.Hopkins1,WR,WR2,8.8,WR2,9,WR2,10.2
00-0033856,Leonard Fournette,L.Fournette,RB,RB7,10,RB7,9,RB7,8.4
00-0033923,Kareem Hunt,K.Hunt,RB,RB8,10.2,RB9,10,RB8,9
00-0031235,Odell Beckham,O.Beckham,WR,WR3,11,WR3,12,WR3,12
00-0032144,Melvin Gordon,M.Gordon,RB,RB9,11.2,RB8,10,RB9,10.4
00-0027944,Julio Jones1,J.Jones1,WR,WR4,12.6,WR4,14,WR4,14.4
00-0033893,Dalvin Cook,D.Cook,RB,RB10,14.2,RB10,14,RB10,13.6
00-0033280,Christian McCaffrey,C.McCaffrey,RB,RB11,14.8,RB11,15,RB11,15
00-0032765,Michael Thomas,M.Thomas,WR,WR5,15.8,WR5,15.5,WR5,17.4
00-0030279,Keenan Allen1,K.Allen1,WR,WR6,16.4,WR6,18,WR7,19
00-0031381,Davante Adams,D.Adams,WR,WR7,18.8,WR7,18.5,WR6,17.8
00-0031285,Devonta Freeman,D.Freeman,RB,RB12,19.2,RB12,18.5,RB12,17.6
00-0027942,A.J. Green,A.Green,WR,WR8,20.2,WR8,21.5,WR8,21.6
00-0027656,Rob Gronkowski,R.Gronkowski,TE,TE1,20.6,TE1,22.5,TE1,21.6
00-0031408,Mike Evans,M.Evans,WR,WR9,23.4,WR9,23.5,WR9,25.6
00-0032780,Jordan Howard,J.Howard,RB,RB13,23.6,RB13,19,RB13,21
00-0033897,Joe Mixon,J.Mixon,RB,RB14,23.8,RB14,23.5,RB14,23.8
00-0030506,Travis Kelce,T.Kelce,TE,TE2,26.6,TE2,31,TE2,28.2
00-0027029,LeSean McCoy,L.McCoy,RB,RB15,26.8,RB15,25,RB15,26
00-0033040,Tyreek Hill1,T.Hill1,WR,WR10,26.8,WR10,25.5,WR10,27
00-0029608,T.Y. Hilton,T.Hilton,WR,WR11,28.2,WR12,29.5,WR12,31
00-0023459,Aaron Rodgers,A.Rodgers,QB,QB1,28.2,QB1,31,QB1,24
00-0031588,Stefon Diggs,S.Diggs,WR,WR12,29.8,WR11,29.5,WR11,30.2
00-0030035,Adam Thielen,A.Thielen,WR,WR13,31.8,WR13,32.5,WR13,34.4
00-0022921,Larry Fitzgerald,L.Fitzgerald,WR,WR14,33.6,WR16,38,WR17,43.2
00-0033118,Kenyan Drake,K.Drake,RB,RB16,34.4,RB18,35,RB17,35.2
00-0031544,Amari Cooper,A.Cooper,WR,WR15,34.6,WR15,37,WR14,35.4
00-0030061,Zach Ertz,Z.Ertz,TE,TE3,35,TE3,38.5,TE3,39.8
00-0028434,Doug Baldwin,D.Baldwin,WR,WR16,37,WR14,33.5,WR15,39.6
00-0032426,Alex Collins,A.Collins,RB,RB17,37.4,RB16,32.5,RB16,33.2
00-0031382,Jarvis Landry,J.Landry,WR,WR17,38.4,WR21,46,WR18,43.6
00-0034838,Royce Freeman,R.Freeman,RB,RB18,41.2,RB20,43,RB20,41
00-0032764,Derrick Henry,D.Henry,RB,RB19,42.2,RB17,32.5,RB18,35.8
00-0031060,Demaryius Thomas,D.Thomas,WR,WR18,43.2,WR20,46,WR20,48.6
00-0031590,Jay Ajayi,J.Ajayi,RB,RB20,43.8,RB19,41,RB19,39.4
00-0033857,JuJu Smith-Schuster,J.Smith-Schuster,WR,WR19,44,WR17,41.5,WR16,42
00-0031236,Brandin Cooks,B.Cooks,WR,WR20,45.4,WR18,44,WR19,46
00-0027891,Golden Tate,G.Tate,WR,WR21,45.8,WR23,53,WR24,54.8
00-0029615,Lamar Miller,L.Miller,RB,RB21,46.8,RB21,44.5,RB21,44.6
00-0019596,Tom Brady,T.Brady,QB,QB2,47.8,QB3,54.5,QB3,43.8
00-0033537,Deshaun Watson,D.Watson,QB,QB3,47.8,QB2,48,QB2,37.4
00-0031428,Allen Robinson II,A.Robinson II,WR,WR22,48,WR22,50.5,WR22,54.2
00-0029664,Josh Gordon,J.Gordon,WR,WR23,48.6,WR19,45,WR21,50.8
00-0027966,Mark Ingram1,M.Ingram1,RB,RB22,52.2,RB22,48,RB22,52
00-0029263,Russell Wilson,R.Wilson,QB,QB4,54.4,QB4,57,QB4,49.4
00-0027696,Jimmy Graham,J.Graham,TE,TE4,54.4,TE4,53.5,TE4,50.2
00-0029293,Marvin Jones,M.Jones,WR,WR24,54.8,WR24,56,WR23,54.6
00-0028237,Chris Hogan,C.Hogan,WR,WR25,55,WR25,60,WR25,57.4
00-0028087,Dion Lewis,D.Lewis,RB,RB23,56.4,RB25,59.5,RB25,63.4
00-0025418,Greg olsen,G.olsen,TE,TE5,56.4,TE5,63,TE5,60.6
00-0025399,Marshawn Lynch,M.Lynch,RB,RB24,61.4,RB23,58,RB23,59.2
00-0027939,Cam Newton,C.Newton,QB,QB5,63.4,QB5,66,QB5,58.8
00-0033871,Corey Davis,C.Davis,WR,WR26,63.6,WR27,67,WR27,67.6
00-0031045,Carlos Hyde,C.Hyde,RB,RB25,65.8,RB24,58.5,RB24,60.6
00-0026986,Michael Crabtree,M.Crabtree,WR,WR27,66.4,WR28,68.5,WR28,69.8
00-0033881,Evan Engram,E.Engram,TE,TE6,66.4,TE6,68,TE6,68
00-0030068,Marquise Goodwin,M.Goodwin,WR,WR28,67,WR29,70.5,WR26,67
00-0027685,Emmanuel Sanders,E.Sanders,WR,WR29,67,WR31,73.5,WR31,78.6
00-0030288,Rex Burkhead,R.Burkhead,RB,RB26,69.8,RB30,73.5,RB29,73.2
00-0020531,Drew Brees,D.Brees,QB,QB6,71.4,QB6,70,QB6,60.8
00-0032058,Tevin Coleman,T.Coleman,RB,RB27,71.8,RB27,68.5,RB27,67
00-0027150,Julian Edelman,J.Edelman,WR,WR30,72.2,WR30,72,WR29,75.6
00-0024389,Delanie Walker,D.Walker,TE,TE7,73,TE7,77.5,TE8,79
00-0029137,Alshon Jeffery,A.Jeffery,WR,WR31,73.4,WR26,64.5,WR30,76.8
00-0027981,Kyle Rudolph,K.Rudolph,TE,TE8,77.2,TE8,78,TE7,77.4
00-0034349,Kerryon Johnson,K.Johnson,RB,RB28,77.8,RB29,70.5,RB26,66.2
00-0033948,Jamaal Williams1,J.Williams1,RB,RB29,78,RB31,74,RB28,69.8
00-0033127,William Fuller,W.Fuller,WR,WR32,79.8,WR33,76.5,WR32,79.4
00-0031325,Sammy Watkins,S.Watkins,WR,WR33,80.2,WR32,75,WR33,82.8
00-0032950,Carson Wentz,C.Wentz,QB,QB7,81.2,QB7,77.5,QB7,75.2
00-0030431,Robert Woods,R.Woods,WR,WR34,82.4,WR36,89,WR36,89.4
00-0034845,Sony Michel,S.Michel,RB,RB30,82.8,RB28,69,RB30,76
00-0032055,Devin Funchess,D.Funchess,WR,WR35,82.8,WR34,79.5,WR35,87.2
00-0034750,Rashaad Penny,R.Penny,RB,RB31,83.6,RB26,61,RB31,82
00-0030472,Jordan Reed,J.Reed,TE,TE9,84.6,TE10,96,TE10,89.8
00-0033908,Cooper Kupp,C.Kupp,WR,WR36,85,WR35,85.5,WR37,89.4
00-0033556,Tarik Cohen,T.Cohen,RB,RB32,85.6,RB34,86,RB34,91.4
00-0030710,Trey Burton,T.Burton,TE,TE10,85.6,TE9,81.5,TE9,83
88-8888888,Jacksonville Jaguars,J.Jaguars,DS,DST1,86,DST1,95,DST1,88
00-0032257,Duke Johnson2,D.Johnson2,RB,RB33,86.6,RB39,106.5,RB40,107.4
00-0029604,Kirk Cousins,K.Cousins,QB,QB8,88,QB8,85,QB8,81
00-0031941,Jamison Crowder,J.Crowder,WR,WR37,88.4,WR39,93.5,WR42,105
00-0032688,Robbie Anderson,R.Anderson,WR,WR38,89.8,WR38,92.5,WR38,94.2
00-0033594,Chris Carson,C.Carson,RB,RB34,90.4,RB36,97,RB32,83.8
00-0029668,Andrew Luck,A.Luck,QB,QB9,92,QB9,97,QB9,85.6
00-0026345,Pierre Garcon,P.Garcon,WR,WR39,92.6,WR40,95.5,WR39,97.8
00-0026176,Jordy Nelson1,J.Nelson1,WR,WR40,93.2,WR37,90,WR34,86.8
00-0030656,Isaiah Crowell,I.Crowell,RB,RB35,94.8,RB35,86.5,RB33,90
00-0026498,Matthew Stafford,M.Stafford,QB,QB10,97,QB11,101.5,QB10,91.4
00-0028002,Randall Cobb,R.Cobb,WR,WR41,99.4,WR41,96.5,WR41,104.6
00-0022924,Ben Roethlisberger,B.Roethlisberger,QB,QB11,100.6,QB14,111.5,QB11,93.4
00-0031549,Nelson Agholor,N.Agholor,WR,WR42,102,WR42,100.5,WR40,103.8
00-0033951,Marlon Mack,M.Mack,RB,RB36,104.8,RB33,85,RB36,95.2
88-8888888,Los Angeles Rams,L.Angeles Rams,DS,DST2,104.8,DST2,106,DST2,103.8
00-0031345,Jimmy Garoppolo,J.Garoppolo,QB,QB12,105.2,QB10,100.5,QB12,93.6
00-0032385,Sterling Shepard,S.Shepard,WR,WR43,105.6,WR44,109.5,WR43,112.4
00-0032741,Peyton Barber,P.Barber,RB,RB37,106.4,RB40,108,RB37,97.2
00-0026143,Matt Ryan,M.Ryan,QB,QB13,107,QB13,110.5,QB13,102.2
00-0030181,Jack Doyle,J.Doyle,TE,TE11,108.6,TE12,124,TE12,122.4
00-0030404,Chris Thompson,C.Thompson,RB,RB38,109,RB54,171.5,RB35,93.2
00-0022942,Philip Rivers,P.Rivers,QB,QB14,109,QB12,108.5,QB14,103.2
00-0033111,Pharoh Cooper,P.Cooper,WR,WR88,112,WR70,157,WR102,242
88-8888888,Minnesota Vikings,M.Vikings,DS,DST3,112,DST3,111,DST3,111
00-0034816,Ronald Jones,R.Jones,RB,RB39,112.4,RB32,78.5,RB38,100.4
00-0033885,David Njoku,D.Njoku,TE,TE12,112.6,TE11,114.5,TE11,114.2
00-0031359,Kelvin Benjamin,K.Benjamin,WR,WR44,113.8,WR43,108,WR44,118.8
88-8888888,Philadelphia Eagles,P.Eagles,DS,DST4,114,DST4,123,DST4,117.5
00-0030085,Kenny Stills,K.Stills,WR,WR45,115.8,WR45,115,WR45,119.6
00-0031062,James White,J.White,RB,RB40,116,RB47,130,RB44,124.8
