player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Saquon Barkley,00-0034844,RB1,1,RB1,1,RB1,1,RB
Christian McCaffrey,00-0033280,RB2,2,RB3,3,RB2,2,RB
Alvin Kamara,00-0033906,RB3,3,RB2,2,RB3,3,RB
Ezekiel Elliott,00-0033045,RB4,4,RB4,4,RB4,4,RB
DeAndre Hopkins,00-0030564,WR1,5,WR1,6,WR1,5,WR
David Johnson,00-0032187,RB5,6,RB5,5,RB7,9,RB
Le'Veon Bell,00-0030496,RB6,7,RB7,9,RB6,7,RB
Davante Adams,00-0031381,WR2,8,WR2,7,WR2,8,WR
James Conner,00-0033553,RB7,9,RB6,8,RB5,6,RB
Julio Jones,00-0027944,WR3,10,WR4,12,WR4,14,WR
Michael Thomas,00-0032765,WR4,11,WR3,11,WR3,13,WR
Odell Beckham,00-0031235,WR5,12,WR5,13,WR7,18,WR
Todd Gurley,00-0032241,RB8,13,RB9,14,RB9,11,RB
JuJu Smith-Schuster,00-0033857,WR6,14,WR6,16,WR6,17,WR
Travis Kelce,00-0030506,TE1,15,TE1,17,TE1,20,TE
Tyreek Hill,00-0033040,WR7,16,WR7,19,WR5,16,WR
Nick Chubb,00-0034791,RB9,17,RB8,10,RB8,10,RB
Dalvin Cook,00-0033893,RB10,18,RB10,15,RB10,15,RB
Joe Mixon,00-0033897,RB11,19,RB11,18,RB11,19,RB
Patrick Mahomes II,00-0033873,QB1,20,QB1,20,QB1,12,QB
Antonio Brown,00-0027793,WR8,21,WR9,22,WR9,23,WR
Mike Evans,00-0031408,WR9,22,WR8,21,WR8,22,WR
Adam Thielen,00-0030035,WR10,23,WR11,24,WR10,24,WR
Keenan Allen,00-0030279,WR11,24,WR10,23,WR11,26,WR
Leonard Fournette,00-0033856,RB12,25,RB12,26,RB12,21,RB
George Kittle,00-0033288,TE2,26,TE2,25,TE3,31,TE
Zach Ertz,00-0030061,TE3,27,TE3,30,TE2,29,TE
Kerryon Johnson,00-0034349,RB13,28,RB15,29,RB14,27,RB
Devonta Freeman,00-0031285,RB14,29,RB16,31,RB18,33,RB
Amari Cooper,00-0031544,WR12,30,WR12,32,WR12,34,WR
Stefon Diggs,00-0031588,WR13,31,WR13,33,WR13,35,WR
Aaron Jones,00-0033293,RB15,32,RB14,28,RB15,28,RB
Josh Jacobs,00-0035700,RB16,33,RB18,35,RB17,32,RB
Damien Williams,00-0030874,RB17,34,RB13,27,RB13,25,RB
Julian Edelman,00-0027150,WR14,35,WR17,42,WR16,43,WR
Chris Carson,00-0033594,RB18,36,RB20,37,RB16,30,RB
Derrick Henry,00-0032764,RB19,37,RB17,34,RB19,36,RB
Brandin Cooks,00-0031236,WR15,38,WR14,38,WR14,40,WR
TY Hilton,00-0029608,WR16,39,WR16,40,WR17,45,WR
Robert Woods,00-0030431,WR17,40,WR15,39,WR15,42,WR
Marlon Mack,00-0033951,RB20,41,RB19,36,RB21,39,RB
Melvin Gordon,00-0032144,RB21,42,RB23,47,RB24,48,RB
Deshaun Watson,00-0033537,QB2,43,QB2,43,QB2,37,QB
Mark Ingram,00-0027966,RB22,44,RB22,44,RB22,41,RB
Kenny Golladay,00-0033932,WR18,45,WR19,46,WR19,49,WR
David Montgomery,00-0035685,RB23,46,RB21,41,RB20,38,RB
Chris Godwin,00-0033921,WR19,47,WR18,45,WR20,50,WR
Tyler Lockett,00-0032211,WR20,48,WR20,48,WR18,46,WR
Sony Michel,00-0034845,RB24,49,RB24,49,RB23,44,RB
Cooper Kupp,00-0033908,WR21,50,WR21,51,WR21,51,WR
Aaron Rodgers,00-0023459,QB3,51,QB3,50,QB3,47,QB
James White,00-0031062,RB25,52,RB27,65,RB28,64,RB
Phillip Lindsay,00-0034109,RB26,53,RB25,52,RB25,52,RB
Tyler Boyd,00-0033009,WR22,54,WR22,53,WR23,57,WR
Evan Engram,00-0033881,TE4,55,TE5,56,TE5,61,TE
OJ Howard,00-0033879,TE5,56,TE4,54,TE4,55,TE
Calvin Ridley,00-0034837,WR23,57,WR24,57,WR22,53,WR
Baker Mayfield,00-0034855,QB4,58,QB4,58,QB4,54,QB
Mike Williams,00-0033536,WR24,59,WR23,55,WR24,59,WR
Hunter Henry,00-0033090,TE6,60,TE6,59,TE6,66,TE
AJ Green,00-0027942,WR25,61,WR25,60,WR25,60,WR
DJ Moore,00-0034827,WR26,62,WR28,64,WR28,67,WR
Jarvis Landry,00-0031382,WR27,63,WR26,62,WR29,69,WR
Matt Ryan,00-0026143,QB5,64,QB5,69,QB5,62,QB
Alshon Jeffery,00-0029137,WR28,65,WR29,66,WR26,63,WR
Tarik Cohen,00-0033556,RB27,66,RB31,73,RB33,76,RB
Tevin Coleman,00-0032058,RB28,67,RB26,61,RB26,56,RB
Austin Ekeler,00-0033699,RB29,68,RB30,72,RB27,58,RB
Jared Cook,00-0027061,TE7,69,TE7,71,TE7,75,TE
Allen Robinson II,00-0031428,WR29,70,WR30,67,WR30,77,WR
Miles Sanders,00-0035243,RB30,71,RB28,68,RB29,68,RB
Josh Gordon,00-0029664,WR30,72,WR27,63,WR27,65,WR
Kenyan Drake,00-0033118,RB31,73,RB32,77,RB32,74,RB
Duke Johnson,00-0032257,RB32,74,RB29,70,RB30,70,RB
Robbie Chosen,00-0032688,WR31,75,WR31,75,WR31,78,WR
Drew Brees,00-0020531,QB6,76,QB7,76,QB6,71,QB
Derrius Guice,00-0034358,RB33,77,RB34,86,RB31,73,RB
Carson Wentz,00-0032950,QB7,78,QB6,74,QB7,72,QB
Chicago Bears,CHI,DST1,79,DST1,78,DST1,84,DST
Vance McDonald,00-0030470,TE8,80,TE8,83,TE8,85,TE
Sammy Watkins,00-0031325,WR32,81,WR35,89,WR34,86,WR
Russell Wilson,00-0029263,QB8,82,QB8,80,QB9,82,QB
Dede Westbrook,00-0033839,WR33,83,WR32,79,WR32,80,WR
Cam Newton,00-0027939,QB9,84,QB10,88,QB10,88,QB
William Fuller,00-0033127,WR34,85,WR33,81,WR33,81,WR
Sterling Shepard,00-0032385,WR35,86,WR38,96,WR37,91,WR
Jared Goff,00-0033106,QB10,87,QB9,85,QB8,79,QB
Christian Kirk,00-0034775,WR36,88,WR34,84,WR36,90,WR
David Njoku,00-0033885,TE9,89,TE9,91,TE10,101,TE
Latavius Murray,00-0030513,RB34,90,RB33,82,RB34,83,RB
Corey Davis,00-0033871,WR37,91,WR37,94,WR38,92,WR
Marvin Jones,00-0029293,WR38,92,WR39,97,WR39,93,WR
Emmanuel Sanders,00-0027685,WR39,93,WR41,103,WR35,89,WR
Curtis Samuel,00-0033282,WR40,94,WR36,90,WR40,98,WR
Jordan Howard,00-0032780,RB35,95,RB35,92,RB35,87,RB
LeSean McCoy,00-0027029,RB36,96,RB40,107,RB36,94,RB
Larry Fitzgerald,00-0022921,WR41,97,WR40,101,WR41,104,WR
Eric Ebron,00-0031387,TE10,98,TE10,95,TE9,95,TE
Rashaad Penny,00-0034750,RB37,99,RB38,104,RB39,100,RB
Ben Roethlisberger,00-0022924,QB11,100,QB15,114,QB11,96,QB
Darrell Henderson,00-0035664,RB38,101,RB43,87,RB40,102,RB
Los Angeles Rams,LAR,DST2,102,DST2,93,DST2,110,DST
Dante Pettis,00-0034860,WR42,103,WR42,106,WR42,109,WR
Matt Breida,00-0033308,RB39,104,RB36,99,RB37,97,RB
Devin Singletary,00-0035250,RB40,105,RB39,105,RB38,99,RB
Royce Freeman,00-0034838,RB41,106,RB37,100,RB43,112,RB
Courtland Sutton,00-0034348,WR43,107,WR44,120,WR44,115,WR
Austin Hooper,00-0032392,TE11,108,TE12,122,TE12,129,TE
Greg Zuerlein,00-0029621,K1,109,K1,109,K1,118,K
Kyler Murray,00-0035228,QB12,110,QB11,98,QB15,108,QB
Marquez Valdes-Scantling,00-0034272,WR44,111,WR43,115,WR43,113,WR
Tom Brady,00-0019596,QB13,112,QB14,113,QB13,105,QB
Kareem Hunt,00-0033923,RB42,113,RB41,108,RB42,111,RB
Lamar Jackson,00-0034796,QB14,114,QB12,102,QB14,106,QB
Jacksonville Jaguars,JAG,DST3,115,DST3,111,DST3,124,DST
Delanie Walker,00-0024389,TE12,116,TE11,112,TE11,117,TE
Geronimo Allison,00-0032626,WR45,117,WR48,132,WR46,120,WR
Justin Tucker,00-0029597,K2,118,K2,117,K2,125,K
Peyton Barber,00-0032741,RB43,119,RB47,146,RB41,107,RB
James Washington,00-0034676,WR46,120,WR45,121,WR45,119,WR
Dak Prescott,00-0033077,QB15,121,QB17,127,QB17,121,QB
Jameis Winston,00-0031503,QB16,122,QB13,110,QB12,103,QB
Philip Rivers,00-0022942,QB17,123,QB16,124,QB16,116,QB
DeSean Jackson,00-0026189,WR47,124,WR47,131,WR47,127,WR
Minnesota Vikings,MIN,DST4,125,DST4,134,DST4,126,DST
Michael Gallup,00-0034764,WR48,126,WR46,130,WR48,133,WR
Baltimore Ravens,BAL,DST5,127,DST5,116,DST5,132,DST
Harrison Butker,00-0033303,K3,128,K3,128,K3,138,K
Los Angeles Chargers,LAC,DST6,129,DST13,164,DST12,140,DST
Tony Pollard,00-0035261,RB44,130,RB42,118,RB44,114,RB
Kalen Ballage,00-0034799,RB45,131,RB48,147,RB48,130,RB
Donte Moncrief,00-0031339,WR49,132,WR50,138,WR49,135,WR
Jaylen Samuels,00-0034331,RB46,133,RB46,142,RB50,136,RB
Golden Tate,00-0027891,WR50,134,WR49,133,WR54,148,WR
Wil Lutz,00-0032569,K4,135,K6,135,K7,149,K
Dion Lewis,00-0028087,RB47,136,RB51,123,RB49,131,RB
Greg Olsen,00-0025418,TE13,137,TE14,155,TE15,150,TE
Trey Burton,00-0030710,TE19,138,TE15,168,TE16,156,TE
DK Metcalf,00-0035640,WR51,139,WR52,144,WR53,147,WR
Adrian Peterson,00-0025394,RB48,140,RB44,125,RB46,123,RB
Kirk Cousins,00-0029604,QB18,141,QB19,156,QB18,134,QB
Kyle Rudolph,00-0027981,TE14,142,TE17,149,TE17,142,TE
Stephen Gostkowski,00-0024333,K5,143,K4,139,K4,145,K
Mark Andrews,00-0034753,TE15,144,TE13,136,TE14,141,TE
Justin Jackson,00-0034440,RB49,145,RB45,126,RB47,128,RB
Mitchell Trubisky,00-0033869,QB19,146,QB18,154,QB19,143,QB
Tyrell Williams,00-0032160,WR52,147,WR51,143,WR50,139,WR
Keke Coutee,00-0034366,WR53,148,WR56,137,WR55,165,WR
Darwin Thompson,00-0035148,RB50,149,RB57,165,RB45,122,RB
Anthony Miller,00-0034353,WR54,150,WR53,119,WR52,146,WR
Ronald Jones,00-0034816,RB51,151,RB53,166,RB52,152,RB
TJ Hockenson,00-0035229,TE16,152,TE16,170,TE13,137,TE
Denver Broncos,DEN,DST7,153,DST9,162,DST6,162,DST
Carlos Hyde,00-0031045,RB52,154,RB52,157,RB53,155,RB
Nyheim Hines,00-0034367,RB53,155,RB55,153,RB57,178,RB
Jordan Reed,00-0030472,TE17,156,TE20,174,TE18,157,TE
Ka'imi Fairbairn,00-0032726,K6,157,K5,163,K5,168,K
Jamison Crowder,00-0031941,WR55,158,WR59,145,WR56,175,WR
Jimmy Graham,00-0027696,TE20,159,TE18,179,TE19,159,TE
New England Patriots,NE,DST8,160,DST7,159,DST7,163,DST
John Brown,00-0031051,WR56,161,WR57,141,WR51,144,WR
New Orleans Saints,NOR,DST15,162,DST18,193,DST14,158,DST
Cleveland Browns,CLE,DST9,163,DST6,158,DST10,171,DST
Houston Texans,HOU,DST10,164,DST8,161,DST8,164,DST
N'Keal Harry,00-0035624,WR62,165,WR55,129,WR58,153,WR
Justice Hill,00-0034975,RB54,166,RB50,151,RB51,151,RB
Jimmy Garoppolo,00-0031345,QB20,167,QB22,169,QB20,154,QB
Mecole Hardman,00-0035140,WR57,168,WR54,152,WR62,181,WR
Josh Allen,00-0034857,QB21,169,QB21,167,QB21,160,QB
Robbie Gould,00-0023252,K7,170,K7,214,K6,182,K
Damien Harris,00-0035657,RB55,171,RB49,148,RB55,166,RB
Dallas Cowboys,DAL,DST11,172,DST10,183,DST11,172,DST
Alexander Mattison,00-0034972,RB56,173,RB54,140,RB54,161,RB
Mohamed Sanu,00-0029632,WR58,174,WR70,191,WR60,170,WR
Derek Carr,00-0031280,QB22,175,QB24,173,QB23,174,QB
Philadelphia Eagles,PHI,DST12,176,DST15,224,DST15,197,DST
Adam Humphries,00-0032009,WR63,177,WR64,178,WR73,199,WR
Matthew Stafford,00-0026498,QB23,178,QB20,177,QB22,179,QB
Darren Waller,00-0031610,TE18,179,TE22,199,TE21,201,TE
Sam Darnold,00-0034869,QB24,180,QB25,189,QB24,184,QB
Jack Doyle,00-0030181,TE21,181,TE26,212,TE22,222,TE
Marquise Brown,00-0035662,WR65,182,WR67,182,WR61,180,WR
Jalen Richard,00-0033025,RB59,183,RB67,201,RB61,204,RB
Deebo Samuel,00-0035719,WR59,184,WR58,172,WR57,183,WR
Kansas City Chiefs,KC,DST16,185,DST20,223,DST16,188,DST
Jake Elliott,00-0033787,K8,186,K12,246,K8,195,K
Buffalo Bills,BUF,DST13,187,DST17,203,DST9,169,DST
Pittsburgh Steelers,PIT,DST17,188,DST21,235,DST17,193,DST
Jason Witten,00-0022127,TE22,189,TE19,196,TE23,225,TE
Noah Fant,00-0035644,TE23,190,TE24,194,TE20,192,TE
Kenny Stills,00-0030085,WR67,191,WR69,190,WR63,185,WR
Seattle Seahawks,SEA,DST14,192,DST16,217,DST13,186,DST
Michael Badgley,00-0034084,K9,193,K9,208,K9,202,K
Mason Crosby,00-0025580,K10,194,K8,210,K10,212,K
Cole Beasley,00-0029000,WR60,195,WR89,254,WR91,262,WR
Nick Foles,00-0029567,QB25,196,QB23,180,QB25,203,QB
CJ Anderson,00-0029854,RB60,197,RB61,188,RB58,189,RB
Demaryius Thomas,00-0027874,WR61,198,WR68,206,WR78,239,WR
Giovani Bernard,00-0030456,RB61,199,RB71,221,RB66,207,RB
Dallas Goedert,00-0034351,TE24,200,TE25,211,TE25,206,TE
Adam Vinatieri,00-0016919,K13,201,K10,231,K12,230,K
Albert Wilson,00-0030669,WR68,202,WR81,226,WR69,217,WR
Brett Maher,00-0030332,K11,203,K15,265,K15,233,K
Randall Cobb,00-0028002,WR69,204,WR61,171,WR77,226,WR
Ted Ginn,00-0025396,WR70,205,WR65,227,WR82,252,WR
Tyler Eifert,00-0030549,TE25,206,TE21,225,TE27,245,TE
Marcus Mariota,00-0032268,QB26,207,QB27,209,QB26,220,QB
Frank Gore,00-0023500,RB62,208,RB82,261,RB65,227,RB
Jason Myers,00-0031492,K12,209,K16,271,K14,232,K
Matt Prater,00-0023853,K14,210,K14,263,K11,219,K
Ty Montgomery,00-0032200,RB58,211,RB63,232,RB64,221,RB
Keelan Doss,00-0035120,WR114,212,,,,,WR
DaeSean Hamilton,00-0034370,WR72,213,WR71,181,WR68,213,WR
Jazz Ferguson,00-0035090,WR116,214,,,,,WR
Jacoby Brissett,00-0033119,QB27,215,QB26,240,QB27,248,QB
Atlanta Falcons,ATL,DST24,216,DST14,238,DST23,271,DST
Green Bay Packers,GB,DST18,217,DST12,218,DST19,237,DST
Tennessee Titans,TEN,DST19,218,DST24,268,DST20,240,DST
Nick Novak,Nick Novak,K33,219,,,,,K
Jay Cutler,Jay Cutler,QB37,220,,,,,QB
Damon Sheehy-Guiseppi,00-0034915,WR118,221,WR87,249,,,WR
Nathan Peterman,00-0033958,QB38,222,,,,,QB
Aldrick Rosas,00-0032870,K15,223,K21,283,K19,259,K
San Francisco 49ers,SF,DST20,224,DST23,258,DST22,257,DST
Joe Flacco,00-0026158,QB28,225,QB34,295,QB29,272,QB
Indianapolis Colts,IND,DST21,226,DST25,274,DST18,231,DST
Andy Dalton,00-0027973,QB29,227,QB29,279,QB28,254,QB
Taylor Bertolet,00-0032669,K34,228,,,,,K
Paul Richardson,00-0031257,WR77,229,WR101,276,WR93,266,WR
Chris Boswell,00-0031136,K16,230,K17,273,K17,247,K
Eli Manning,00-0022803,QB30,231,QB31,286,QB31,289,QB
Matt Bryant,00-0020578,K17,232,K31,342,K13,255,K
Carolina Panthers,CAR,DST22,233,DST11,241,DST26,274,DST
Brandon Marshall,00-0024334,WR119,234,,,,,WR
Brandon McManus,00-0029822,K18,235,K22,298,K24,290,K
Marquise Goodwin,00-0030068,WR64,236,WR66,195,WR59,194,WR
Mike Thomas,00-0033114,WR120,237,,,,,WR
New York Giants,NYG,DST27,238,DST30,365,DST31,313,DST
New York Jets,NYJ,DST23,239,DST27,294,DST27,280,DST
Sam Bradford,00-0027854,QB39,240,,,,,QB
Benjamin Watson,00-0022943,TE27,241,TE35,293,TE31,286,TE
Lil'Jordan Humphrey,00-0035406,WR121,242,,,,,WR
Eddy Pineiro,00-0034173,K24,243,K18,275,K23,284,K
Max McCaffrey,00-0032937,WR123,244,,,,,WR
Jay Ajayi,00-0031590,RB66,245,RB83,262,RB82,277,RB
Antonio Gates,00-0021547,TE35,246,,,,,TE
Cody Parkey,00-0030850,K36,247,,,,,K
Christian Wade,00-0035728,RB79,248,,,,,RB
CJ Conrad,00-0035009,TE47,249,,,,,TE
Daniel Jones,00-0035710,QB31,250,QB35,306,QB32,306,QB
Tampa Bay Buccaneers,TB,DST31,251,DST31,368,DST32,328,DST
Hunter Renfrow,00-0034983,WR85,252,WR106,281,WR98,278,WR
Blake Bell,00-0032062,TE48,253,,,,,TE
Glenn Gronkowski,Glenn Gronkowski,RB97,254,,,,,RB
Jake Butt,00-0033564,TE49,255,,,,,TE
Jalen Hurd,00-0034971,WR87,256,WR84,233,WR94,236,WR
Matt Barkley,00-0030533,QB41,257,,,,,QB
Anthony Fasano,Anthony Fasano,TE50,258,,,,,TE
Younghoe Koo,00-0033702,K38,259,,,,,K
Stephen Hauschka,00-0025944,K19,260,K34,349,K25,305,K
Tyree Jackson,00-0035356,TE51,261,,,,,TE
Tyre Brady,00-0035361,WR125,262,,,,,WR
Las Vegas Raiders,LV,DST28,263,DST29,348,DST25,297,DST
Matt Forte,Matt Forte,RB98,264,,,,,RB
Miami Dolphins,MIA,DST29,265,DST28,318,DST30,301,DST
Mike Nugent,00-0023482,K39,266,,,,,K
Brandon Tate,00-0027057,WR127,267,,,,,WR
Dez Bryant,00-0027902,WR96,268,WR99,270,,,WR
Demarcus Robinson,00-0032775,WR97,269,WR92,259,WR99,263,WR
