player_id,player_full_name,POSITION,player_name,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0033280,Christian McCaffrey,RB,C.McCaffrey,RB1,1,RB1,1,RB1,1
00-0034844,Saquon Barkley,RB,S.Barkley,RB2,2,RB2,2,RB2,2.3
00-0033045,Ezekiel Elliott,RB,E.Elliott,RB3,3,RB3,3,RB3,2.7
00-0033893,Dalvin Cook,RB,D.Cook,RB4,4.8,RB4,5.3,RB5,5.7
00-0032765,Michael Thomas1,WR,M.Thomas1,WR1,5,WR1,6,WR1,6.3
00-0033906,Alvin Kamara,RB,A.Kamara,RB5,5.3,RB5,5.3,RB6,6.3
00-0032764,Derrick Henry,RB,D.Henry,RB6,7.3,RB6,5.7,RB4,4.7
00-0031381,Davante Adams,WR,D.Adams,WR2,11.3,WR2,9.3,WR2,12.3
00-0035700,Josh Jacobs,RB,J.Jacobs,RB7,12,RB10,14.3,RB10,12.3
00-0033897,Joe Mixon,RB,J.Mixon,RB8,12.8,RB7,9.7,RB9,12
00-0035243,Miles Sanders,RB,M.Sanders,RB10,14,RB14,19.3,RB13,18.7
00-0036360,Clyde Edwards-Helaire,RB,C.Edwards-Helaire,RB9,14,RB9,13.3,RB8,12
00-0033699,Austin Ekeler,RB,A.Ekeler,RB11,14.3,RB12,19,RB14,20.7
00-0033040,Tyreek Hill1,WR,T.Hill1,WR3,14.8,WR3,12.7,WR3,13.7
00-0034791,Nick Chubb,RB,N.Chubb,RB12,15,RB8,12.7,RB7,11
00-0033118,Kenyan Drake,RB,K.Drake,RB13,15,RB11,15.7,RB12,17.7
00-0027944,Julio Jones,WR,J.Jones,WR4,15.3,WR4,14.3,WR4,16.3
00-0030564,DeAndre Hopkins1,WR,D.Hopkins1,WR5,15.5,WR5,17,WR5,18.7
00-0033293,Aaron Jones,RB,A.Jones,RB14,18.3,RB13,19,RB11,15.3
00-0030506,Travis Kelce,TE,T.Kelce,TE1,18.8,TE1,18.7,TE1,18.7
00-0033873,Patrick Mahomes,QB,P.Mahomes,QB1,20,QB1,18.7,QB1,15
00-0033921,Chris Godwin,WR,C.Godwin,WR6,20.8,WR6,21,WR6,21
00-0034796,Lamar Jackson,QB,L.Jackson,QB2,21,QB2,20.3,QB2,17.3
00-0033288,George Kittle,TE,G.Kittle,TE2,23.3,TE2,20,TE2,23.3
00-0033932,Kenny Golladay,WR,K.Golladay,WR7,26,WR7,25.3,WR7,24.3
00-0031408,Mike Evans,WR,M.Evans,WR8,27,WR8,27.3,WR8,25.7
00-0033594,Chris Carson,RB,C.Carson,RB15,30.3,RB15,30,RB16,30
00-0034827,DJ Moore1,WR,D.Moore1,WR9,30.3,WR12,34,WR17,44.7
00-0032241,Todd Gurley,RB,T.Gurley,RB16,30.8,RB16,31,RB15,28.7
00-0031428,Allen Robinson,WR,A.Robinson,WR10,32,WR10,30.7,WR15,39.7
00-0031235,Odell Beckham,WR,O.Beckham,WR11,32,WR9,30,WR10,34
00-0030035,Adam Thielen,WR,A.Thielen,WR12,32.3,WR11,32,WR11,34.7
00-0033857,JuJu Smith-Schuster,WR,J.Smith-Schuster,WR13,33.8,WR14,34.3,WR12,36
00-0033553,James Conner,RB,J.Conner,RB17,34.8,RB17,33,RB19,36.3
00-0032257,David Johnson1,RB,D.Johnson1,RB18,35.3,RB21,42,RB17,34.3
00-0031544,Amari Cooper,WR,A.Cooper,WR14,35.3,WR13,34.3,WR9,31
00-0030496,Le'Veon Bell,RB,L.Bell,RB19,37.8,RB20,41.7,RB23,43.7
00-0033908,Cooper Kupp,WR,C.Kupp,WR15,38,WR16,40,WR13,38.3
00-0032144,Melvin Gordon,RB,M.Gordon,RB20,40.5,RB19,37.3,RB21,41.7
00-0030061,Zach Ertz,TE,Z.Ertz,TE3,42,TE4,46,TE4,51.3
00-0034753,Mark Andrews,TE,M.Andrews,TE4,42.3,TE3,39.7,TE3,40
00-0035676,A.J. Brown2,WR,A.Brown2,WR16,42.3,WR15,39.3,WR14,38.7
00-0036223,Jonathan Taylor1,RB,J.Taylor1,RB21,42.8,RB18,37,RB18,34.7
00-0034837,Calvin Ridley,WR,C.Ridley,WR17,43,WR17,44,WR16,41.7
