player_id,player_full_name,player_name,POSITION,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0036322,Justin Jefferson,J.Jefferson,WR,WR1,1,WR1,1,WR1,1.5
00-0033280,Christian McCaffrey,C.McCaffrey,RB,RB1,2.3,RB1,2,RB1,1.5
00-0036900,Ja'Marr Chase,J.Chase,WR,WR2,3,WR2,3,WR2,4.5
00-0033699,Austin Ekeler,A.Ekeler,RB,RB2,3.8,RB2,4,RB2,3.5
00-0030506,Travis Kelce,T.Kelce,TE,TE1,5.8,TE1,5.7,TE1,5
00-0033040,Tyreek Hill1,T.Hill1,WR,WR3,6.3,WR3,5.3,WR3,6.5
00-0034844,Saquon Barkley,S.Barkley,RB,RB3,7.8,RB5,8.7,RB4,8
00-0037746,Bijan Robinson1,B.Robinson1,RB,RB4,8,RB3,7.7,RB3,6.5
00-0031588,Stefon Diggs,S.Diggs,WR,WR4,10,WR4,10,WR4,11
00-0034791,Nick Chubb,N.Chubb,RB,RB5,12.3,RB4,8.3,RB5,8
00-0031381,Davante Adams,D.Adams,WR,WR5,12.8,WR8,17,WR7,17
00-0036358,CeeDee Lamb,C.Lamb,WR,WR6,13.3,WR5,12,WR5,12
00-0033908,Cooper Kupp,C.Kupp,WR,WR7,13.8,WR7,15.3,WR8,18
00-0033873,Patrick Mahomes,P.Mahomes,QB,QB1,14.5,QB1,15,QB1,14
00-0035676,A.J. Brown,A.Brown,WR,WR8,15,WR6,13.3,WR6,14
00-0035261,Tony Pollard,T.Pollard,RB,RB6,16,RB6,14.7,RB8,15.5
00-0032764,Derrick Henry,D.Henry,RB,RB7,16,RB7,15.7,RB6,15
00-0035700,Josh Jacobs,J.Jacobs,RB,RB8,16,RB8,16.3,RB7,15
00-0037740,Garrett Wilson,G.Wilson,WR,WR9,17.3,WR9,18,WR10,19
00-0036963,Amon-Ra St. Brown,A.St. Brown,WR,WR10,18.8,WR10,18,WR9,18.5
00-0034857,Josh Allen,J.Allen,QB,QB2,20.5,QB2,20.3,QB2,18.5
00-0036389,Jalen Hurts,J.Hurts,QB,QB3,22.8,QB3,22,QB3,21.5
00-0036613,Jaylen Waddle,J.Waddle,WR,WR11,24.5,WR11,23.3,WR11,24
00-0037239,Chris Olave,C.Olave,WR,WR12,26.5,WR12,25,WR12,25
00-0032217,DeVonta Smith1,D.Smith1,WR,WR13,27,WR13,26,WR13,28.5
00-0036893,Najee Harris,N.Harris,RB,RB9,28,RB9,25.7,RB9,24
00-0036410,Tee Higgins,T.Higgins,WR,WR14,28.8,WR14,30.7,WR14,33.5
00-0036973,Travis Etienne,T.Etienne,RB,RB10,28.8,RB10,26.3,RB10,26
00-0034753,Mark Andrews,M.Andrews,TE,TE2,30.3,TE2,29.7,TE2,28.5
00-0036875,Rhamondre Stevenson,R.Stevenson,RB,RB11,30.5,RB11,29.7,RB11,28.5
