season,pa_team,d_td,int,fr,sk,sfty,pbk,blkk,fpts,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46
2018,ARI,2.0,6.0,8.0,39.0,0.0,0.0,0.0,71.0,0,0,2,6,0,5,0,0,0,0,0,2,2,6,2,1,0
2018,ATL,1.0,9.0,2.0,27.0,0.0,1.0,0.0,20.0,0,0,1,3,3,4,0,2,0,0,0,0,1,5,4,3,0
2018,BAL,3.0,6.0,4.0,38.0,0.0,0.0,0.0,98.0,0,3,4,1,3,2,0,0,0,1,1,2,3,4,1,1,0
2018,BUF,0.0,12.0,8.0,31.0,1.0,0.0,0.0,85.0,0,3,4,2,3,1,0,0,0,0,1,2,1,5,2,1,1
2018,CAR,0.0,11.0,7.0,30.0,0.0,0.0,0.0,52.0,0,0,2,6,2,2,1,0,0,0,0,1,1,6,4,0,1
2018,CHI,6.0,25.0,9.0,40.0,1.0,0.0,0.0,162.0,0,0,6,4,2,0,0,1,0,0,1,3,3,4,1,1,0
2018,CIN,4.0,11.0,4.0,28.0,0.0,0.0,0.0,33.0,0,0,2,1,3,2,2,1,2,0,0,1,0,5,3,3,1
2018,CLE,0.0,15.0,13.0,30.0,1.0,0.0,2.0,56.0,0,0,2,0,4,3,3,0,1,0,0,1,2,6,1,3,0
2018,DAL,0.0,8.0,7.0,35.0,0.0,0.0,0.0,78.0,0,1,5,3,2,1,1,0,0,0,0,3,2,7,1,0,0
2018,DEN,2.0,14.0,7.0,40.0,0.0,1.0,3.0,86.0,0,0,2,4,2,2,1,2,0,0,0,2,1,8,2,0,0
2018,DET,2.0,6.0,7.0,37.0,0.0,0.0,0.0,68.0,0,0,4,4,1,3,0,1,0,0,1,1,1,5,4,1,0
2018,GB,2.0,7.0,7.0,40.0,0.0,1.0,0.0,76.0,0,1,3,2,2,4,1,0,0,1,0,1,1,5,5,0,0
2018,HOU,4.0,13.0,10.0,36.0,0.0,1.0,0.0,114.0,0,0,5,1,4,2,1,0,0,0,0,3,3,6,1,0,0
2018,IND,0.0,11.0,10.0,35.0,0.0,0.0,1.0,75.0,0,0,2,6,2,2,1,0,0,0,2,2,0,4,3,2,0
2018,JAX,1.0,10.0,4.0,25.0,1.0,0.0,0.0,68.0,0,1,3,4,3,2,0,0,0,1,0,2,1,6,2,1,0
2018,KC,4.0,11.0,9.0,41.0,0.0,1.0,0.0,66.0,0,0,2,1,2,3,2,3,0,0,0,1,2,5,2,3,0
2018,LA,4.0,14.0,11.0,34.0,2.0,2.0,0.0,107.0,0,1,2,1,5,2,1,1,0,1,0,3,1,3,3,2,0
2018,LAC,2.0,12.0,4.0,32.0,0.0,0.0,0.0,82.0,0,1,3,4,4,0,0,1,0,0,1,2,2,5,2,1,0
2018,LV,1.0,10.0,3.0,11.0,0.0,0.0,1.0,8.0,0,0,1,2,4,3,3,0,0,0,0,0,0,8,2,3,0
2018,MIA,3.0,19.0,6.0,22.0,0.0,1.0,1.0,63.0,0,0,1,2,2,5,3,0,0,0,1,1,2,3,4,2,0
2018,MIN,3.0,12.0,8.0,38.0,0.0,0.0,0.0,102.0,0,0,7,2,2,0,1,0,1,0,0,2,4,5,1,1,0
2018,NE,3.0,14.0,6.0,24.0,0.0,2.0,0.0,74.0,0,1,1,3,2,4,2,0,0,0,1,3,1,3,4,1,0
2018,NO,1.0,11.0,9.0,41.0,0.0,2.0,0.0,81.0,0,1,3,3,2,2,1,1,0,0,0,2,3,5,0,3,0
2018,NYG,3.0,15.0,4.0,24.0,0.0,0.0,0.0,62.0,0,0,2,2,6,2,0,1,0,0,0,0,2,7,3,1,0
2018,NYJ,4.0,13.0,6.0,28.0,0.0,1.0,1.0,71.0,0,1,1,3,2,3,2,1,0,0,0,2,1,6,2,2,0
2018,PHI,0.0,8.0,4.0,34.0,0.0,0.0,0.0,41.0,0,0,3,1,3,4,0,1,1,0,0,3,2,6,1,0,1
2018,PIT,3.0,6.0,7.0,45.0,2.0,1.0,1.0,92.0,0,0,5,3,2,1,2,0,0,0,0,0,3,9,0,1,0
2018,SEA,2.0,12.0,9.0,33.0,0.0,0.0,1.0,80.0,0,1,3,2,2,0,5,0,0,0,1,2,3,5,1,1,0
2018,SF,1.0,2.0,3.0,31.0,1.0,0.0,0.0,37.0,0,0,4,4,2,2,0,1,0,0,1,0,1,6,2,3,0
2018,TB,1.0,8.0,6.0,34.0,0.0,0.0,0.0,31.0,0,0,1,3,1,6,2,0,0,0,0,1,2,3,4,2,1
2018,TEN,1.0,7.0,4.0,33.0,1.0,0.0,0.0,74.0,0,0,6,2,2,2,1,0,0,0,1,3,3,4,1,1,0
2018,WAS,1.0,13.0,10.0,34.0,0.0,0.0,0.0,72.0,0,0,2,4,1,4,1,1,0,0,2,1,4,1,3,2,0
