season,week,pa_team,ya,int,sk,sfty,pbk,pa,pa_tds,fr,d_td,blkk,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46,fpts
2022,1,ARI,488.0,0.0,0.0,0.0,0.0,44.0,6.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-6.0
2022,1,ATL,387.0,0.0,4.0,0.0,0.0,27.0,3.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2022,1,BAL,380.0,1.0,3.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9.0
2022,1,BUF,243.0,3.0,7.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.0
2022,1,CAR,355.0,0.0,1.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2022,1,CHI,331.0,1.0,2.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.0
2022,1,CIN,267.0,0.0,1.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
2022,1,CLE,261.0,1.0,4.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.0
2022,1,DAL,347.0,1.0,2.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
2022,1,DEN,253.0,0.0,2.0,0.0,0.0,17.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0
2022,1,DET,455.0,0.0,1.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-5.0
2022,1,GB,395.0,0.0,1.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2022,1,HOU,517.0,1.0,2.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
2022,1,IND,299.0,0.0,3.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0
2022,1,JAX,392.0,2.0,1.0,0.0,0.0,28.0,4.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.0
2022,1,KC,284.0,0.0,3.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2022,1,LA,413.0,2.0,2.0,0.0,0.0,31.0,4.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.0
2022,1,LAC,320.0,3.0,6.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.0
2022,1,LV,355.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1.0
2022,1,MIA,271.0,1.0,2.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0
2022,1,MIN,338.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11.0
2022,1,NE,307.0,0.0,3.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
2022,1,NO,416.0,0.0,0.0,0.0,0.0,26.0,2.0,2.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0
2022,1,NYG,359.0,0.0,1.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0
2022,1,NYJ,274.0,1.0,2.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0
2022,1,PHI,386.0,1.0,1.0,0.0,0.0,35.0,5.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.0
2022,1,PIT,434.0,4.0,7.0,0.0,0.0,20.0,2.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22.0
2022,1,SEA,433.0,0.0,2.0,0.0,0.0,16.0,1.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.0
2022,1,SF,204.0,1.0,2.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0
2022,1,TB,244.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0
2022,1,TEN,396.0,1.0,5.0,0.0,0.0,21.0,3.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.0
2022,1,WAS,383.0,1.0,2.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2022,2,ARI,324.0,0.0,1.0,0.0,0.0,23.0,2.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0
2022,2,ATL,337.0,2.0,1.0,1.0,1.0,31.0,4.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0
2022,2,BAL,547.0,2.0,1.0,0.0,0.0,42.0,6.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0
2022,2,BUF,187.0,2.0,2.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.0
2022,2,CAR,265.0,0.0,3.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2022,2,CHI,414.0,0.0,3.0,0.0,0.0,27.0,3.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0
2022,2,CIN,337.0,0.0,1.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2022,2,CLE,402.0,0.0,2.0,0.0,0.0,31.0,4.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
2022,2,DAL,256.0,0.0,6.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0
2022,2,DEN,234.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0
2022,2,DET,398.0,1.0,5.0,1.0,0.0,27.0,4.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.0
2022,2,GB,228.0,1.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0
2022,2,HOU,350.0,1.0,3.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0
2022,2,IND,331.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2022,2,JAX,218.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.0
2022,2,KC,401.0,1.0,2.0,0.0,0.0,24.0,3.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7.0
2022,2,LA,263.0,2.0,3.0,0.0,0.0,25.0,3.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0
2022,2,LAC,319.0,0.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
2022,2,LV,417.0,1.0,1.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
2022,2,MIA,473.0,0.0,0.0,0.0,0.0,38.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-8.0
2022,2,MIN,486.0,1.0,3.0,0.0,0.0,24.0,3.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0
2022,2,NE,245.0,1.0,3.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0
2022,2,NO,260.0,0.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0
2022,2,NYG,275.0,0.0,2.0,0.0,0.0,16.0,1.0,2.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0
2022,2,NYJ,405.0,1.0,1.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1.0
2022,2,PHI,264.0,3.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0
2022,2,PIT,376.0,1.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
2022,2,SEA,373.0,0.0,1.0,0.0,0.0,27.0,3.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.0
2022,2,SF,216.0,2.0,2.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0
2022,2,TB,308.0,3.0,6.0,0.0,0.0,10.0,1.0,2.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0
2022,2,TEN,414.0,0.0,1.0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-5.0
2022,2,WAS,425.0,0.0,3.0,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1.0
2022,3,ARI,339.0,0.0,1.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2022,3,ATL,420.0,1.0,2.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0
2022,3,BAL,447.0,3.0,3.0,0.0,0.0,26.0,3.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8.0
2022,3,BUF,212.0,0.0,2.0,1.0,0.0,21.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0
2022,3,CAR,426.0,2.0,1.0,0.0,0.0,14.0,2.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,13.0
2022,3,CHI,329.0,2.0,1.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2022,3,CIN,328.0,2.0,4.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.0
2022,3,CLE,308.0,0.0,1.0,0.0,0.0,17.0,2.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0
