player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Todd Gurley,00-0032241,RB1,1,RB1,1,RB1,1,RB
Le'Veon Bell,00-0030496,RB2,2,RB2,2,RB2,2,RB
David Johnson,00-0032187,RB3,3,RB3,3,RB3,3,RB
Ezekiel Elliott,00-0033045,RB4,4,RB4,4,RB4,4,RB
Antonio Brown,00-0027793,WR1,5,WR1,5,WR1,5,WR
Alvin Kamara,00-0033906,RB5,6,RB5,6,RB6,7,RB
Saquon Barkley,00-0034844,RB6,7,RB6,7,RB5,6,RB
DeAndre Hopkins,00-0030564,WR2,8,WR2,9,WR2,10,WR
Leonard Fournette,00-0033856,RB7,9,RB7,8,RB7,8,RB
Kareem Hunt,00-0033923,RB8,10,RB9,11,RB8,9,RB
Odell Beckham,00-0031235,WR3,11,WR3,12,WR3,12,WR
Melvin Gordon,00-0032144,RB9,12,RB8,10,RB9,11,RB
Julio Jones,00-0027944,WR4,13,WR4,14,WR4,14,WR
Dalvin Cook,00-0033893,RB10,14,RB10,13,RB10,13,RB
Christian McCaffrey,00-0033280,RB11,15,RB11,15,RB11,15,RB
Michael Thomas,00-0032765,WR5,16,WR5,16,WR5,16,WR
Keenan Allen,00-0030279,WR6,17,WR6,17,WR7,19,WR
Davante Adams,00-0031381,WR7,18,WR7,19,WR6,18,WR
Devonta Freeman,00-0031285,RB12,19,RB12,18,RB12,17,RB
AJ Green,00-0027942,WR8,20,WR8,21,WR8,22,WR
Rob Gronkowski,00-0027656,TE1,21,TE1,22,TE1,21,TE
Mike Evans,00-0031408,WR9,22,WR9,24,WR9,25,WR
Jordan Howard,00-0032780,RB13,23,RB13,20,RB13,20,RB
Joe Mixon,00-0033897,RB14,24,RB14,23,RB14,23,RB
Travis Kelce,00-0030506,TE2,25,TE2,30,TE2,28,TE
LeSean McCoy,00-0027029,RB15,26,RB15,25,RB15,26,RB
Tyreek Hill,00-0033040,WR10,27,WR10,26,WR10,27,WR
