player_id,player_name,pass_touchdown,rush_touchdown,rec_touchdown,passing_yards,rushing_yards,receiving_yards,receptions,targets,interception,fumble_lost,two_point_pass_success,two_point_rush_success,two_point_rec_success,kick_return_touchdown,punt_return_touchdown,fg_made_0-39,fg_made_40-49,fg_made_50-59,fg_made_60+,fg_missed_0-39,fg_missed_40-49,fg_missed_50-59,fg_missed_60+,pat_made,pat_missed,fppr,hppr,position
00-0016919,A.Vinatieri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,0.0,1.0,4.0,3.0,0.0,22.0,6.0,72.0,72.0,K
00-0019596,T.Brady,24.0,3.0,0.0,4266.0,34.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.03999948501587,270.03999948501587,QB
00-0020531,D.Brees,28.0,1.0,0.0,3187.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.57999572902918,233.57999572902918,QB
00-0020578,M.Bryant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,14.0,1.0,43.0,43.0,K
00-0021206,J.McCown,0.0,0.0,0.0,198.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.019999742507935,10.019999742507935,QB
00-0022127,J.Witten,0.0,0.0,4.0,0.0,0.0,529.0,63.0,85.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.9000015258789,108.4000015258789,TE
00-0022787,M.Schaub,3.0,0.0,0.0,580.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.89999884366989,32.89999884366989,QB
00-0022803,E.Manning,6.0,0.0,0.0,1042.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.38000029325485,54.38000029325485,QB
00-0022824,A.Lee,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0399999618530273,1.0399999618530273,P
00-0022921,L.Fitzgerald,0.0,0.0,4.0,0.0,0.0,835.0,73.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.5,142.0,WR
00-0022924,B.Roethlisberger,0.0,0.0,0.0,351.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.739999949932098,12.739999949932098,QB
00-0022942,P.Rivers,23.0,0.0,0.0,4615.0,29.0,0.0,0.0,0.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.499990940094,235.499990940094,QB
00-0022943,B.Watson,0.0,0.0,0.0,0.0,0.0,211.0,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.10000038146973,31.100000381469727,TE
00-0023252,R.Gould,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,2.0,2.0,4.0,0.0,41.0,1.0,108.0,108.0,K
00-0023459,A.Rodgers,26.0,1.0,0.0,4002.0,183.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.38000297546387,278.38000297546387,QB
00-0023482,M.Nugent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,15.0,1.0,27.0,27.0,K
00-0023500,F.Gore,0.0,2.0,0.0,0.0,621.0,100.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.10000228881836,90.60000228881836,RB
